id,root_word_phrase,variants,often_combined_with,severity,context_why_avoid,synonyms,synonyms_that_rhyme,synonyms_same_syllables,frequency_score,weighted_score,phrase_type,analysis_source
1197,shadow light,a shadow light | the shadow light | shadow lights | shadow's light | shadow light,every | neon | find | morning | searching,CRITICAL,"Extremely overused phrase appearing 777 times in dataset. Creates predictable, generic lyrics.",shade | shade off | trace | phantom | tincture | idle | tripping | visible radiation,,,777,621.6,bigram,automated_detection
1198,break away,break awaies | break away | break's away | the break away | a break away,free | can't | chain | fade | walk,CRITICAL,"Extremely overused phrase appearing 771 times in dataset. Creates predictable, generic lyrics.",get around | gaolbreak | let out | geological fault | break in | forth | out | aside,,,771,616.8,bigram,automated_detection
1213,mmm mmm mmm,a mmm mmm mmm | mmm's mmm mmm | mmm mmm mmm | the mmm mmm mmm,,CRITICAL,"Extremely overused phrase appearing 609 times in dataset. Creates predictable, generic lyrics.",,,,609,609,trigram,automated_detection
1214,never let go,a never let go | never's let go | never let go | the never let go,can't | love | letting | end | alone,CRITICAL,"Extremely overused phrase appearing 604 times in dataset. Creates predictable, generic lyrics.",,,,604,604,trigram,automated_detection
1215,ah ah ah,ah's ah ah | ah ah ah | a ah ah ah | the ah ah ah,,CRITICAL,"Extremely overused phrase appearing 567 times in dataset. Creates predictable, generic lyrics.",,,,567,567,trigram,automated_detection
1216,every step feel,every step feel | the every step feel | a every step feel | every's step feel,move | can't | scar | right | touch,CRITICAL,"Extremely overused phrase appearing 556 times in dataset. Creates predictable, generic lyrics.",,,,556,556,trigram,automated_detection
1199,day night,day's night | the day night | a day night | day nights | day night,every | another | find | feel | late,CRITICAL,"Extremely overused phrase appearing 826 times in dataset. Creates predictable, generic lyrics.",solar day | Day | Clarence Shepard Day Jr. | 24-hour interval | twenty-four hours | Nox | Night | nighttime,light | bright | sight | fight | right,,826,528.64,bigram,automated_detection
1217,every whisper every,the every whisper every | a every whisper every | every's whisper every | every whisper every,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 510 times in dataset. Creates predictable, generic lyrics.",,,,510,510,trigram,automated_detection
1218,way back home,the way back home | way's back home | way back home | a way back home,can't | find | take | lost | come,CRITICAL,"Extremely overused phrase appearing 502 times in dataset. Creates predictable, generic lyrics.",,,,502,502,trigram,automated_detection
1219,moment feel like,a moment feel like | moment's feel like | the moment feel like | moment feel like,can't | right | everything | heart | ghost,CRITICAL,"Extremely overused phrase appearing 502 times in dataset. Creates predictable, generic lyrics.",,,,502,502,trigram,automated_detection
